,department,number,title,time,location,instructor,card_core
497,MUH,212,History of Rock and Roll, ,ONLINE,Daniel Worley,AHP1
498,MUH,214,African-American Music, ,ONLINE,Marlin McKay,AHP1
499,MUH,215,Hip-Hop Music and History, ,ONLINE,Allison Ogden,AHP1
500,MUH,217,History of Country Music, ,ONLINE,Sean Mulhall,AHP1
501,MUH,317,Popular Music in American Culture, ,ONLINE,Allison Ogden,AHP1
502,MUTH,451,Music Therapy Internship, ,Belknap,Lorna Segall,CUE
503,NURS,205,United States Healthcare System History and Inequality, ,ONLINE,"Cynethia Bethel-Hines, Mary Marlatt","SBH, D1"
504,NURS,221,Principles of Basic Patient Care, ,HSC / Online,Christina Meek,
505,NURS,221,Principles of Basic Patient Care,We 4:00PM - 7:00PM,HSC,Christina Meek,
506,NURS,221,Principles of Basic Patient Care, ,Owensboro / Online,Christina Meek,
507,NURS,221,Principles of Basic Patient Care,Mo 9:00AM - 12:00PM,Owensboro / OWENSBORO,Haley Geary,
508,NURS,310,Strategies for Nursing Student Success,TBA,ONLINE / TBA,To be Announced,
509,NURS,310,Strategies for Nursing Student Success,TBA,ONLINE / TBA,To be Announced,
510,NURS,314,Population Health Nursing, ,HSC / Online,"Angela Mehringer, Rebecca Gesler, Angela Mehringer",
511,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Kristin Baisch,
512,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Nancy Kern,
513,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Jennifer Howell,
514,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Becky Houston,
515,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Beverly Williams Coleman,
516,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Nancy Kern,
517,NURS,314,Population Health Nursing,TBA,HSC / TBA,To be Announced,
518,NURS,314,Population Health Nursing,TBA,HSC / TBA,To be Announced,
519,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Jennifer Howell,
520,NURS,314,Population Health Nursing, ,Owensboro / Online,"Angela Mehringer, Rebecca Gesler",
521,NURS,314,Population Health Nursing,We 8:00AM - 4:00PM,Owensboro / OWENSBORO,Angela Mehringer,
522,NURS,314,Population Health Nursing,We 8:00AM - 4:00PM,Owensboro / OWENSBORO,Haley Geary,
523,NURS,315,Foundations for Professional Nursing Practice, ,HSC / Online,"Courtney Albers, Kristin Baisch, Courtney Albers",
524,NURS,315,Foundations for Professional Nursing Practice,We 8:00AM - 12:00PM,HSC,"Courtney Albers, Ashley Stadelman",
